name_eng,name_chn,lon,lat,x,y
Macau,????,113.54913,22.19875,888534.1928,2343374.489
Beijing,??????,116.4124971,40.18461034,953797.005,4375584.969
Chengdu,?????,103.9340289,30.6531764,-100832.9845,3245509.941
Fuzhou,??????,119.1743692,26.05235244,1409434.7,2831515.381
Guangzhou,??????,113.5337844,23.34934033,876081.9661,2469283.982
Guiyang,??????,106.7062472,26.8414195,168722.3128,2819960.427
Harbin,????????,127.9569832,45.63718503,1765303.817,5138617.665
Haikou,??????,110.4218295,19.83079497,578040.8177,2062220.062
Hangzhou,??????,119.4685546,29.89911291,1376097.269,3260772.418
Hefei,?????,117.30794,31.79322,1145431.278,3444250.643
Hohhot,?????????,111.62299,40.80772,549636.5031,4409370.972
Jinan,??????,117.0891579,36.73882267,1057375.583,3995764.639
Kunming,??????,102.8726119,25.38750377,-213823.3144,2659215.073
Lhasa,??????,91.09022765,30.03667622,-1321151.873,3268457.354
Lanzhou,??????,103.6378312,36.35910009,-120021.8798,3889209.094
Nanchang,?????,116.0255492,28.66004226,1065577.423,3080745.072
Nanjing,?????,118.8423612,31.92642614,1285272.778,3477899.045
Nanning,??????,108.4633713,23.05708563,357039.6809,2405652.99
Shanghai,?????,121.4417996,31.21068025,1537873.683,3435260.569
Shenyang,??????,123.1388086,42.09567633,1471695.248,4671040.445
Shijiazhuang,??????,114.439005,38.13179374,811429.5509,4127376.824
Taipei,?????,121.520076,25.030724,1659454.132,2755761.311
Taiyuan,????,112.3153931,37.95938758,630685.3457,4092532.609
Tianjin,?????,117.3266353,39.30134541,1042171.589,4285728.003
Urumqi,????????,87.78076963,43.72814955,-1366174.253,4838577.231
Wuhan,?????,114.3423571,30.62356103,882743.8149,3283205.895
Xi'an,??????,108.7865133,34.10599458,343267.556,3640410.483
Xining,??????,101.4496242,36.81745372,-310917.4332,3945756.521
Hong Kong,???,114.16546,22.27534,951640.2323,2357458.289
Yinchuan,??????,106.3546836,38.22782175,116480.0669,4100424.007
Changchun,??????,125.7672074,44.38323421,1628651.043,4964253.621
Changsha,?????,113.1531649,28.22737627,792675.7447,3005703.088
Zhengzhou,?????,113.4703981,34.62717798,762127.2487,3725235.755
Chongqing,??????,107.8745734,30.05726464,273817.4672,3182029.762
