city_a,city_b,Cij
Beijing,Urumqi,11
Beijing,Shanghai,442
Beijing,Taipei,27
Taipei,Hangzhou,1
Shenyang,Shanghai,7
Beijing,Harbin,7
Beijing,Lhasa,20
Guangzhou,Shanghai,87
Beijing,Shijiazhuang,3
Shanghai,Hangzhou,36
Wuhan,Shanghai,12
Nanning,Macau,2
Guangzhou,Macau,10
Chongqing,Nanjing,9
Beijing,Macau,15
Beijing,Chengdu,18
Beijing,Hangzhou,17
Chengdu,Shanghai,20
Chengdu,Hangzhou,6
Beijing,Changsha,6
Chongqing,Chengdu,16
Beijing,Guangzhou,71
Shanghai,Taipei,10
Guangzhou,Shenyang,3
Harbin,Changchun,1
Chongqing,Guangzhou,8
Chongqing,Shanghai,20
Chongqing,Kunming,5
Guangzhou,Nanjing,10
Guangzhou,Chengdu,19
Guangzhou,Kunming,4
Nanjing,Chengdu,7
Nanjing,Shanghai,38
Nanjing,Kunming,6
Chengdu,Kunming,5
Shanghai,Kunming,9
Urumqi,Kunming,2
Wuhan,Shenyang,4
Beijing,Shenyang,8
Zhengzhou,Shijiazhuang,2
Zhengzhou,Taiyuan,1
Zhengzhou,Tianjin,3
Shijiazhuang,Taiyuan,1
Shijiazhuang,Tianjin,2
Taiyuan,Tianjin,1
Macau,Shanghai,16
Beijing,Tianjin,46
Shenyang,Macau,3
Shenyang,Chengdu,7
Macau,Chengdu,8
Macau,Taipei,3
Shenyang,Hangzhou,2
Macau,Hangzhou,1
Shanghai,Tianjin,25
Beijing,Wuhan,9
Nanjing,Tianjin,6
Nanjing,Urumqi,1
Tianjin,Urumqi,1
Beijing,Chongqing,20
Beijing,Nanjing,16
Nanjing,Hangzhou,5
Chongqing,Jinan,5
Guangzhou,Nanning,2
Guangzhou,Shijiazhuang,1
Guangzhou,Haikou,1
Guangzhou,Changsha,4
Guangzhou,Nanchang,2
Guangzhou,Jinan,2
Guangzhou,Tianjin,16
Nanning,Shijiazhuang,1
Nanning,Haikou,1
Nanning,Changsha,1
Nanning,Nanjing,2
Nanning,Nanchang,2
Nanning,Shenyang,2
Nanning,Chengdu,1
Nanning,Jinan,2
Shijiazhuang,Haikou,1
Shijiazhuang,Changsha,3
Shijiazhuang,Nanjing,1
Shijiazhuang,Nanchang,1
Shijiazhuang,Shenyang,2
Shijiazhuang,Chengdu,2
Shijiazhuang,Jinan,2
Haikou,Changsha,1
Haikou,Nanjing,1
Haikou,Nanchang,1
Haikou,Shenyang,1
Haikou,Chengdu,1
Haikou,Jinan,1
Changsha,Nanjing,1
Changsha,Nanchang,1
Changsha,Shenyang,2
Changsha,Chengdu,5
Changsha,Jinan,3
Nanjing,Nanchang,2
Nanjing,Shenyang,3
Nanjing,Jinan,3
Nanchang,Shenyang,2
Nanchang,Chengdu,1
Nanchang,Jinan,2
Shenyang,Jinan,3
Shenyang,Tianjin,5
